"Label (Grouping)","HOUSEHOLD INCOME","HOUSEHOLD INCOME!!All households","HOUSEHOLD INCOME!!All households!!With earnings","HOUSEHOLD INCOME!!All households!!With earnings!!With wages or salary income","HOUSEHOLD INCOME!!All households!!With earnings!!With self-employment income","HOUSEHOLD INCOME!!All households!!With interest, dividends, or net rental income","HOUSEHOLD INCOME!!All households!!With Social Security income","HOUSEHOLD INCOME!!All households!!With Supplemental Security Income (SSI)","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP","HOUSEHOLD INCOME!!All households!!With cash public assistance income or Food Stamps/SNAP!!With cash public assistance","HOUSEHOLD INCOME!!All households!!With retirement income","HOUSEHOLD INCOME!!All households!!With other types of income","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!No workers","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!1 worker","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!2 workers, other","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, both spouses worked","FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY!!All families!!3 or more workers, other","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!White","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Black or African American","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!American Indian and Alaska Native","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Asian","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Native Hawaiian and Other Pacific Islander","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!One race--!!Some other race","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Two or more races","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!Hispanic or Latino origin (of any race)","PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN!!Total population!!White alone, not Hispanic or Latino"
"        Estimate","","52,487","82.4%","79.2%","11.3%","34.6%","15.4%","3.0%","10.7%","4.2%","12.5%","9.1%","","18,992","12.7%","28.7%","47.1%","5.8%","4.0%","1.7%","","117,097","","56.3%","9.6%","0.0%","21.0%","0.1%","2.1%","10.8%","7.1%","54.9%"
"        Margin of Error","","±2,335","±2.8","±3.2","±2.4","±3.5","±2.5","±1.3","±2.3","±1.3","±1.8","±2.0","","±1,455","±4.3","±5.0","±5.8","±2.4","±2.4","±1.3","","±31","","±3.3","±3.0","±0.1","±3.0","±0.1","±1.2","±1.7","±1.7","±3.3"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","150,366","151,260","151,995","38,212","41,860","22,382","9,301","(X)","5,080","41,855","22,151","","203,382","76,253","143,057","276,793","170,535","242,873","154,142","","68,387","","83,939","29,234","N","59,212","N","49,374","43,928","49,138","84,064"
"        Margin of Error","","±10,950","±10,542","±11,008","±9,889","±12,586","±2,267","±749","(X)","±1,456","±10,374","±9,778","","±19,112","±35,541","±32,251","±41,026","±90,128","±59,301","±79,403","","±4,373","","±6,426","±8,974","N","±8,018","N","±35,337","±11,202","±14,271","±6,497"
"Fall River School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,521","28,920","28,044","3,804","5,696","12,372","3,015","13,887","3,200","8,884","7,860","","25,001","5,014","9,259","5,562","2,661","2,009","496","","93,883","","63,871","6,239","34","1,803","0","7,169","14,767","12,919","61,307"
"        Margin of Error","","±1,666","±1,702","±1,708","±1,020","±1,049","±1,650","±1,057","±1,625","±962","±1,381","±1,392","","±1,554","±1,232","±1,869","±1,192","±882","±675","±350","","±29","","±4,102","±2,373","±59","±1,151","±218","±2,695","±3,290","±3,225","±4,112"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","40,521","71.4%","69.2%","9.4%","14.1%","30.5%","7.4%","34.3%","7.9%","21.9%","19.4%","","25,001","20.1%","37.0%","22.2%","10.6%","8.0%","2.0%","","93,883","","68.0%","6.6%","0.0%","1.9%","0.0%","7.6%","15.7%","13.8%","65.3%"
"        Margin of Error","","±1,666","±3.8","±4.0","±2.6","±2.5","±3.7","±2.6","±4.1","±2.4","±3.3","±3.4","","±1,554","±4.7","±6.8","±4.8","±3.5","±2.7","±1.4","","±29","","±4.4","±2.5","±0.1","±1.2","±0.2","±2.9","±3.5","±3.4","±4.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","63,388","67,270","65,491","28,606","13,452","16,271","9,608","(X)","5,249","19,819","15,691","","74,805","29,562","51,401","103,334","91,715","179,558","134,100","","27,235","","31,239","24,230","N","29,671","N","18,025","15,332","11,962","32,077"
"        Margin of Error","","±4,876","±5,524","±5,569","±6,833","±7,851","±1,608","±1,208","(X)","±2,756","±2,917","±2,993","","±6,608","±5,882","±7,277","±12,418","±13,027","±26,910","±54,093","","±2,026","","±2,362","±5,133","N","±14,358","N","±5,817","±3,304","±3,045","±2,405"
"Framingham School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,320","22,072","21,501","3,972","5,490","5,688","688","5,372","882","4,170","3,033","","17,897","1,676","4,141","7,852","1,274","2,237","717","","71,260","","37,396","4,771","35","7,133","0","9,220","12,705","13,757","34,807"
"        Margin of Error","","±1,503","±1,254","±1,370","±1,049","±1,060","±1,461","±354","±1,054","±488","±1,248","±955","","±964","±778","±930","±1,330","±532","±743","±410","","±32","","±3,484","±2,593","±58","±3,044","±218","±2,780","±3,984","±3,352","±3,380"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,320","83.9%","81.7%","15.1%","20.9%","21.6%","2.6%","20.4%","3.4%","15.8%","11.5%","","17,897","9.4%","23.1%","43.9%","7.1%","12.5%","4.0%","","71,260","","52.5%","6.7%","0.0%","10.0%","0.0%","12.9%","17.8%","19.3%","48.8%"
"        Margin of Error","","±1,503","±4.2","±4.2","±4.1","±4.1","±5.1","±1.3","±4.0","±1.8","±4.4","±3.7","","±964","±4.2","±5.4","±6.5","±3.0","±4.2","±2.3","","±32","","±4.9","±3.6","±0.1","±4.3","±0.3","±3.9","±5.6","±4.7","±4.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","125,453","130,079","124,857","46,970","23,671","21,898","11,168","(X)","6,091","29,765","12,898","","145,428","30,570","113,140","160,523","134,376","228,506","195,517","","46,285","","55,489","26,446","N","52,568","N","19,773","42,226","31,464","57,404"
"        Margin of Error","","±12,076","±11,808","±11,844","±16,918","±8,885","±2,955","±3,727","(X)","±4,035","±7,531","±4,240","","±15,580","±14,344","±28,897","±22,949","±47,258","±60,115","±81,052","","±4,326","","±4,435","±9,172","N","±12,271","N","±5,241","±13,758","±11,777","±4,445"
"Haverhill School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25,293","20,239","19,737","2,528","4,291","7,045","1,726","8,153","3,356","5,368","4,630","","17,448","1,797","5,156","6,128","2,080","1,684","603","","67,356","","44,912","2,979","177","1,906","0","3,791","13,591","16,605","41,064"
"        Margin of Error","","±1,564","±1,408","±1,352","±823","±908","±1,222","±659","±1,201","±1,049","±1,116","±1,055","","±917","±693","±1,182","±1,060","±864","±683","±339","","±32","","±3,665","±1,713","±289","±2,115","±218","±1,645","±2,862","±3,360","±3,676"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","25,293","80.0%","78.0%","10.0%","17.0%","27.9%","6.8%","32.2%","13.3%","21.2%","18.3%","","17,448","10.3%","29.6%","35.1%","11.9%","9.7%","3.5%","","67,356","","66.7%","4.4%","0.3%","2.8%","0.0%","5.6%","20.2%","24.7%","61.0%"
"        Margin of Error","","±1,564","±4.2","±4.3","±3.4","±3.5","±4.2","±2.7","±4.2","±4.0","±4.1","±4.2","","±917","±4.0","±6.3","±6.0","±4.9","±4.0","±1.9","","±32","","±5.4","±2.5","±0.4","±3.1","±0.3","±2.4","±4.2","±5.0","±5.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,356","95,685","94,220","30,443","16,949","17,389","8,379","(X)","4,209","27,927","16,468","","105,597","50,094","67,330","133,940","81,588","190,346","156,302","","35,746","","40,451","51,506","N","17,924","N","28,855","21,345","18,111","43,355"
"        Margin of Error","","±6,900","±8,393","±7,901","±14,526","±9,327","±2,035","±1,659","(X)","±1,800","±5,401","±3,233","","±8,362","±12,516","±11,801","±16,052","±18,083","±20,964","±35,059","","±2,740","","±3,772","±22,488","N","±9,565","N","±10,138","±4,654","±3,711","±3,737"
"Lawrence School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","30,366","24,278","23,953","1,497","3,454","7,742","4,362","17,443","5,424","3,779","5,656","","21,884","2,119","8,406","2,657","5,209","1,943","1,550","","88,511","","17,091","3,205","685","320","0","42,364","24,846","N","N"
"        Margin of Error","","±1,840","±1,455","±1,471","±724","±1,165","±1,287","±1,045","±2,000","±1,286","±1,093","±1,278","","±1,456","±741","±1,615","±914","±1,243","±746","±768","","±24","","±3,362","±1,561","±798","±537","±218","±4,731","±3,992","N","N"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","30,366","80.0%","78.9%","4.9%","11.4%","25.5%","14.4%","57.4%","17.9%","12.4%","18.6%","","21,884","9.7%","38.4%","12.1%","23.8%","8.9%","7.1%","","88,511","","19.3%","3.6%","0.8%","0.4%","0.0%","47.9%","28.1%","N","N"
"        Margin of Error","","±1,840","±3.8","±3.9","±2.4","±3.8","±3.9","±3.4","±5.4","±4.0","±3.6","±4.1","","±1,456","±3.3","±6.3","±4.4","±5.0","±3.5","±3.7","","±24","","±3.8","±1.8","±0.9","±0.6","±0.2","±5.3","±4.5","N","N"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","63,459","66,353","64,023","N","11,164","12,420","7,924","(X)","4,047","12,892","13,457","","64,422","30,031","37,324","107,029","65,563","124,686","105,983","","21,913","","35,917","21,601","N","N","N","19,536","16,678","N","N"
"        Margin of Error","","±6,963","±7,758","±6,590","N","±3,132","±2,694","±1,020","(X)","±880","±4,058","±3,796","","±7,746","±9,118","±4,215","±41,881","±7,354","±42,035","±23,692","","±2,231","","±7,731","±7,879","N","N","N","±2,611","±2,398","N","N"
"Lowell School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,577","33,517","32,203","3,912","5,572","12,898","5,246","12,005","1,922","7,128","6,132","","26,063","3,318","8,010","6,518","4,721","1,881","1,615","","114,005","","67,424","10,875","262","20,757","21","6,576","8,090","17,742","61,123"
"        Margin of Error","","±2,528","±2,227","±2,312","±984","±1,330","±1,922","±1,323","±1,600","±926","±1,285","±1,296","","±1,513","±946","±1,242","±1,224","±1,171","±656","±787","","±46","","±4,951","±2,792","±223","±4,584","±46","±1,950","±2,942","±3,822","±4,983"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,577","78.7%","75.6%","9.2%","13.1%","30.3%","12.3%","28.2%","4.5%","16.7%","14.4%","","26,063","12.7%","30.7%","25.0%","18.1%","7.2%","6.2%","","114,005","","59.1%","9.5%","0.2%","18.2%","0.0%","5.8%","7.1%","15.6%","53.6%"
"        Margin of Error","","±2,528","±3.2","±3.7","±2.3","±2.9","±3.9","±3.1","±3.8","±2.1","±3.0","±3.0","","±1,513","±3.4","±4.6","±4.4","±4.1","±2.5","±3.1","","±46","","±4.3","±2.4","±0.2","±4.0","±0.1","±1.7","±2.6","±3.4","±4.4"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","80,255","82,905","83,024","26,866","8,051","16,977","11,877","(X)","6,215","27,755","16,693","","91,905","35,472","67,133","107,620","101,948","163,771","154,214","","29,770","","32,363","27,816","N","25,183","N","27,922","23,819","25,684","33,339"
"        Margin of Error","","±4,791","±5,475","±5,672","±7,191","±2,474","±1,633","±1,489","(X)","±2,735","±4,967","±2,993","","±6,963","±11,150","±9,004","±13,431","±15,783","±26,563","±34,080","","±2,241","","±3,170","±6,504","N","±3,955","N","±6,408","±7,459","±5,006","±3,255"
"Lynn School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,304","28,207","27,760","2,318","5,056","10,686","3,322","11,762","2,399","5,595","5,516","","24,266","2,092","7,939","5,443","3,986","2,247","2,559","","100,831","","41,848","13,205","1,239","3,872","0","24,985","15,682","41,373","37,918"
"        Margin of Error","","±2,119","±1,519","±1,521","±819","±1,260","±1,651","±995","±1,611","±896","±1,139","±1,276","","±1,463","±752","±1,441","±1,553","±1,207","±876","±923","","±42","","±3,958","±3,194","±1,172","±1,473","±218","±4,891","±3,866","±4,126","±3,776"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","37,304","75.6%","74.4%","6.2%","13.6%","28.6%","8.9%","31.5%","6.4%","15.0%","14.8%","","24,266","8.6%","32.7%","22.4%","16.4%","9.3%","10.5%","","100,831","","41.5%","13.1%","1.2%","3.8%","0.0%","24.8%","15.6%","41.0%","37.6%"
"        Margin of Error","","±2,119","±4.2","±4.2","±2.1","±3.3","±3.9","±2.6","±4.5","±2.4","±2.9","±3.4","","±1,463","±3.0","±5.8","±5.9","±4.9","±3.7","±3.8","","±42","","±3.9","±3.2","±1.2","±1.5","±0.2","±4.9","±3.8","±4.1","±3.7"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","83,701","92,863","92,775","18,970","10,402","16,407","9,828","(X)","5,997","23,370","17,633","","100,566","34,300","57,951","144,689","92,422","166,341","148,030","","31,109","","36,094","36,331","14,906","41,911","N","25,154","21,508","24,113","37,910"
"        Margin of Error","","±6,707","±7,348","±7,484","±11,648","±4,066","±1,561","±1,419","(X)","±3,032","±3,068","±3,325","","±8,108","±8,737","±8,450","±24,606","±11,685","±26,581","±24,407","","±2,014","","±3,104","±7,965","±5,970","±10,134","N","±3,177","±4,052","±2,753","±3,270"
"Malden School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,386","23,176","21,686","3,228","5,083","4,736","1,151","6,161","1,913","5,054","3,859","","15,664","N","N","N","N","N","N","","65,057","","23,804","9,554","59","18,264","0","3,964","9,412","7,737","22,549"
"        Margin of Error","","±2,034","±1,760","±2,122","±1,178","±1,515","±1,246","±727","±1,623","±881","±1,491","±1,066","","±1,197","N","N","N","N","N","N","","±63","","±3,671","±4,440","±100","±4,495","±218","±2,697","±3,782","±3,214","±3,589"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","26,386","87.8%","82.2%","12.2%","19.3%","17.9%","4.4%","23.3%","7.3%","19.2%","14.6%","","15,664","N","N","N","N","N","N","","65,057","","36.6%","14.7%","0.1%","28.1%","0.0%","6.1%","14.5%","11.9%","34.7%"
"        Margin of Error","","±2,034","±3.8","±5.3","±4.6","±5.4","±4.3","±2.7","±6.5","±3.3","±5.2","±3.9","","±1,197","N","N","N","N","N","N","","±63","","±5.6","±6.8","±0.2","±6.9","±0.3","±4.1","±5.8","±4.9","±5.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","99,284","98,092","101,960","19,295","5,736","18,120","13,257","(X)","7,439","26,552","17,539","","110,292","N","N","N","N","N","N","","39,529","","53,987","27,798","N","41,713","N","15,156","21,085","32,804","52,081"
"        Margin of Error","","±10,100","±9,759","±9,435","±6,986","±2,611","±2,886","±4,220","(X)","±4,384","±8,673","±5,115","","±11,641","N","N","N","N","N","N","","±4,488","","±7,443","±5,492","N","±7,201","N","±7,091","±5,504","±15,683","±6,649"
"New Bedford School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,743","32,257","31,538","3,663","4,598","12,841","4,032","14,199","2,798","7,369","5,567","","24,275","3,730","10,898","3,490","2,910","1,924","1,323","","100,947","","55,868","4,333","1,206","1,357","0","20,244","17,939","25,709","55,181"
"        Margin of Error","","±2,324","±2,199","±2,225","±873","±1,045","±1,584","±1,069","±1,777","±851","±1,029","±1,411","","±1,325","±1,032","±1,541","±843","±774","±689","±648","","±35","","±4,006","±1,929","±1,153","±774","±218","±3,663","±3,393","±3,671","±3,963"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","42,743","75.5%","73.8%","8.6%","10.8%","30.0%","9.4%","33.2%","6.5%","17.2%","13.0%","","24,275","15.4%","44.9%","14.4%","12.0%","7.9%","5.5%","","100,947","","55.3%","4.3%","1.2%","1.3%","0.0%","20.1%","17.8%","25.5%","54.7%"
"        Margin of Error","","±2,324","±3.3","±3.5","±2.1","±2.4","±3.6","±2.5","±4.6","±2.0","±2.3","±3.4","","±1,325","±4.1","±5.7","±3.3","±3.2","±2.9","±2.7","","±35","","±4.0","±1.9","±1.1","±0.8","±0.2","±3.6","±3.4","±3.6","±3.9"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","61,855","64,105","62,435","26,966","17,607","16,737","8,498","(X)","4,722","20,168","15,100","","68,189","30,184","49,118","102,233","93,602","128,248","99,394","","26,044","","31,263","34,138","8,104","17,609","N","19,592","16,961","16,717","31,581"
"        Margin of Error","","±4,150","±4,364","±4,301","±7,406","±5,930","±1,395","±1,349","(X)","±1,547","±2,812","±3,944","","±6,412","±9,772","±5,066","±11,580","±17,540","±24,960","±25,512","","±1,896","","±2,428","±9,562","±5,742","±10,191","N","±3,974","±3,966","±2,658","±2,490"
"Newton School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,961","25,175","24,166","6,028","12,627","8,060","780","2,088","1,097","5,643","3,038","","22,016","1,976","5,579","10,434","1,545","2,111","371","","87,455","","58,841","2,254","35","12,473","71","3,510","10,271","4,127","58,374"
"        Margin of Error","","±1,245","±1,019","±1,033","±988","±1,352","±1,133","±425","±709","±546","±855","±607","","±1,097","±517","±982","±1,208","±548","±612","±290","","±35","","±3,010","±1,117","±58","±2,268","±139","±2,250","±1,903","±1,358","±3,089"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","29,961","84.0%","80.7%","20.1%","42.1%","26.9%","2.6%","7.0%","3.7%","18.8%","10.1%","","22,016","9.0%","25.3%","47.4%","7.0%","9.6%","1.7%","","87,455","","67.3%","2.6%","0.0%","14.3%","0.1%","4.0%","11.7%","4.7%","66.7%"
"        Margin of Error","","±1,245","±2.7","±3.1","±3.1","±4.0","±3.3","±1.4","±2.3","±1.8","±2.6","±2.1","","±1,097","±2.3","±4.2","±5.1","±2.4","±2.8","±1.3","","±35","","±3.4","±1.3","±0.1","±2.6","±0.2","±2.6","±2.2","±1.6","±3.5"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","260,666","260,969","245,220","106,819","54,092","28,177","7,308","(X)","5,325","49,520","12,780","","310,187","154,003","225,215","369,319","358,979","377,799","168,921","","90,592","","102,040","46,111","N","71,467","N","52,262","71,680","77,911","101,991"
"        Margin of Error","","±19,574","±21,406","±21,454","±31,910","±15,676","±2,308","±2,841","(X)","±2,151","±9,965","±3,219","","±24,671","±50,364","±46,810","±34,537","±177,117","±78,880","±37,970","","±6,824","","±8,360","±22,321","N","±13,682","N","±16,440","±20,827","±28,940","±8,652"
"Quincy School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,051","35,806","35,150","3,909","7,356","11,147","1,923","8,584","2,154","6,960","7,072","","23,472","3,259","6,128","7,343","2,814","2,519","1,409","","101,131","","55,350","6,771","10","28,470","67","2,014","8,449","7,460","54,822"
"        Margin of Error","","±1,993","±1,871","±1,917","±1,162","±1,347","±1,529","±708","±1,407","±764","±1,337","±1,469","","±1,378","±853","±1,095","±1,307","±926","±727","±688","","±52","","±4,383","±2,225","±20","±4,181","±115","±1,130","±2,382","±2,468","±4,372"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","44,051","81.3%","79.8%","8.9%","16.7%","25.3%","4.4%","19.5%","4.9%","15.8%","16.1%","","23,472","13.9%","26.1%","31.3%","12.0%","10.7%","6.0%","","101,131","","54.7%","6.7%","0.0%","28.2%","0.1%","2.0%","8.4%","7.4%","54.2%"
"        Margin of Error","","±1,993","±2.9","±2.8","±2.6","±2.9","±3.1","±1.6","±3.1","±1.7","±2.9","±3.3","","±1,378","±3.5","±4.2","±5.1","±4.0","±3.1","±2.9","","±52","","±4.3","±2.2","±0.1","±4.1","±0.1","±1.1","±2.4","±2.4","±4.3"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","107,692","112,234","110,721","32,439","17,539","18,573","8,447","(X)","5,616","35,090","16,500","","129,954","44,124","96,166","174,526","130,731","168,109","173,378","","46,637","","54,947","37,316","N","37,251","N","42,256","32,757","38,805","54,850"
"        Margin of Error","","±7,222","±8,046","±7,919","±17,050","±8,129","±2,007","±2,817","(X)","±3,366","±9,145","±3,192","","±12,310","±15,111","±25,273","±17,358","±26,740","±31,488","±41,303","","±3,657","","±5,232","±10,080","N","±6,960","N","±17,381","±5,731","±7,365","±5,270"
"Somerville School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","35,015","30,190","29,811","3,485","10,169","6,710","1,208","3,464","1,283","4,767","4,477","","14,743","N","N","N","N","N","N","","79,819","","51,086","2,601","393","10,751","99","5,972","8,917","12,279","49,592"
"        Margin of Error","","±1,707","±1,842","±1,895","±860","±1,497","±1,372","±563","±951","±626","±1,082","±945","","±1,564","N","N","N","N","N","N","","±33","","±3,436","±1,268","±548","±2,525","±153","±3,240","±2,545","±3,468","±3,696"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","35,015","86.2%","85.1%","10.0%","29.0%","19.2%","3.4%","9.9%","3.7%","13.6%","12.8%","","14,743","N","N","N","N","N","N","","79,819","","64.0%","3.3%","0.5%","13.5%","0.1%","7.5%","11.2%","15.4%","62.1%"
"        Margin of Error","","±1,707","±3.1","±3.4","±2.4","±4.0","±3.8","±1.6","±2.8","±1.8","±2.9","±2.7","","±1,564","N","N","N","N","N","N","","±33","","±4.3","±1.6","±0.7","±3.2","±0.2","±4.1","±3.2","±4.3","±4.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","137,861","140,450","139,674","21,912","23,674","18,744","8,324","(X)","6,259","21,084","22,764","","156,302","N","N","N","N","N","N","","60,342","","66,543","35,651","25,899","71,120","N","29,903","41,458","36,578","67,052"
"        Margin of Error","","±10,578","±9,902","±10,014","±7,018","±7,818","±2,163","±2,544","(X)","±2,407","±5,488","±9,507","","±16,822","N","N","N","N","N","N","","±4,992","","±5,493","±17,141","±34,757","±18,729","N","±11,194","±8,200","±9,290","±5,624"
"Springfield School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,806","38,227","36,985","3,600","5,368","18,392","10,844","22,766","4,898","9,384","9,417","","35,715","8,099","13,953","5,383","5,053","1,855","1,372","","154,788","","52,774","32,186","844","3,168","0","20,075","45,741","75,845","42,884"
"        Margin of Error","","±2,206","±1,948","±1,834","±1,250","±1,280","±1,898","±1,552","±2,056","±1,326","±1,365","±1,739","","±1,630","±1,804","±1,979","±1,241","±1,099","±608","±539","","±31","","±4,395","±3,276","±650","±1,343","±218","±4,290","±6,140","±3,816","±3,977"
"    Percent Distribution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,806","66.1%","64.0%","6.2%","9.3%","31.8%","18.8%","39.4%","8.5%","16.2%","16.3%","","35,715","22.7%","39.1%","15.1%","14.1%","5.2%","3.8%","","154,788","","34.1%","20.8%","0.5%","2.0%","0.0%","13.0%","29.6%","49.0%","27.7%"
"        Margin of Error","","±2,206","±3.3","±3.0","±2.2","±2.1","±3.0","±2.8","±3.8","±2.4","±2.4","±3.0","","±1,630","±4.7","±5.4","±3.4","±3.2","±1.7","±1.5","","±31","","±2.8","±2.1","±0.4","±0.9","±0.1","±2.8","±4.0","±2.5","±2.6"
"    Mean income (dollars)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","57,178","64,753","63,855","31,571","8,488","15,300","9,113","(X)","5,668","26,223","13,836","","63,896","26,182","50,813","110,156","75,823","128,560","106,732","","21,954","","28,718","23,867","41,572","18,543","N","20,783","13,192","15,577","31,501"
"        Margin of Error","","±3,854","±5,356","±5,361","±10,060","±2,646","±1,212","±795","(X)","±2,601","±3,782","±2,268","","±5,472","±5,313","±4,861","±20,520","±8,488","±18,857","±26,989","","±1,460","","±2,473","±3,307","±25,307","±10,071","N","±3,230","±2,380","±1,918","±2,846"
"Worcester School District, Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","76,065","59,655","58,384","7,234","9,654","18,066","6,877","23,374","4,491","13,357","12,552","","45,022","5,664","15,868","13,130","3,998","4,617","1,745","","205,917","","103,668","31,586","721","11,724","152","19,298","38,768","54,733","98,580"
